ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
2009-01-01 15:00:00+00:00,2009-01-01,2009,1,1,15,0,GMT,31,1
2009-01-01 15:30:00+00:00,2009-01-01,2009,1,1,15,30,GMT,32,1
2009-01-01 16:00:00+00:00,2009-01-01,2009,1,1,16,0,GMT,33,1
2009-01-01 16:30:00+00:00,2009-01-01,2009,1,1,16,30,GMT,34,1
2009-01-01 17:00:00+00:00,2009-01-01,2009,1,1,17,0,GMT,35,1
2009-01-01 17:30:00+00:00,2009-01-01,2009,1,1,17,30,GMT,36,1
2009-01-01 18:00:00+00:00,2009-01-01,2009,1,1,18,0,GMT,37,1
2009-01-01 18:30:00+00:00,2009-01-01,2009,1,1,18,30,GMT,38,1
2009-01-01 19:00:00+00:00,2009-01-01,2009,1,1,19,0,GMT,39,1
2009-01-01 19:30:00+00:00,2009-01-01,2009,1,1,19,30,GMT,40,1
2009-01-01 20:00:00+00:00,2009-01-01,2009,1,1,20,0,GMT,41,1
2009-01-01 20:30:00+00:00,2009-01-01,2009,1,1,20,30,GMT,42,1
2009-01-01 21:00:00+00:00,2009-01-01,2009,1,1,21,0,GMT,43,1
2009-01-01 21:30:00+00:00,2009-01-01,2009,1,1,21,30,GMT,44,1
2009-01-01 22:00:00+00:00,2009-01-01,2009,1,1,22,0,GMT,45,1
2009-01-01 22:30:00+00:00,2009-01-01,2009,1,1,22,30,GMT,46,1
2009-01-01 23:00:00+00:00,2009-01-01,2009,1,1,23,0,GMT,47,1
2009-01-01 23:30:00+00:00,2009-01-01,2009,1,1,23,30,GMT,48,1
2009-01-02 00:00:00+00:00,2009-01-02,2009,1,2,0,0,GMT,1,2
2009-01-02 00:30:00+00:00,2009-01-02,2009,1,2,0,30,GMT,2,2
2009-01-02 01:00:00+00:00,2009-01-02,2009,1,2,1,0,GMT,3,2
2009-01-02 01:30:00+00:00,2009-01-02,2009,1,2,1,30,GMT,4,2
2009-01-02 02:00:00+00:00,2009-01-02,2009,1,2,2,0,GMT,5,2
2009-01-02 02:30:00+00:00,2009-01-02,2009,1,2,2,30,GMT,6,2
2009-01-02 03:00:00+00:00,2009-01-02,2009,1,2,3,0,GMT,7,2
2009-01-02 03:30:00+00:00,2009-01-02,2009,1,2,3,30,GMT,8,2
2009-01-02 04:00:00+00:00,2009-01-02,2009,1,2,4,0,GMT,9,2
2009-01-02 04:30:00+00:00,2009-01-02,2009,1,2,4,30,GMT,10,2
2009-01-02 05:00:00+00:00,2009-01-02,2009,1,2,5,0,GMT,11,2
2009-01-02 05:30:00+00:00,2009-01-02,2009,1,2,5,30,GMT,12,2
2009-01-02 06:00:00+00:00,2009-01-02,2009,1,2,6,0,GMT,13,2
2009-01-02 06:30:00+00:00,2009-01-02,2009,1,2,6,30,GMT,14,2
2009-01-02 07:00:00+00:00,2009-01-02,2009,1,2,7,0,GMT,15,2
2009-01-02 07:30:00+00:00,2009-01-02,2009,1,2,7,30,GMT,16,2
2009-01-02 08:00:00+00:00,2009-01-02,2009,1,2,8,0,GMT,17,2
2009-01-02 08:30:00+00:00,2009-01-02,2009,1,2,8,30,GMT,18,2
2009-01-02 09:00:00+00:00,2009-01-02,2009,1,2,9,0,GMT,19,2
2009-01-02 09:30:00+00:00,2009-01-02,2009,1,2,9,30,GMT,20,2
2009-01-02 10:00:00+00:00,2009-01-02,2009,1,2,10,0,GMT,21,2
2009-01-02 10:30:00+00:00,2009-01-02,2009,1,2,10,30,GMT,22,2
2009-01-02 11:00:00+00:00,2009-01-02,2009,1,2,11,0,GMT,23,2
2009-01-02 11:30:00+00:00,2009-01-02,2009,1,2,11,30,GMT,24,2
2009-01-02 12:00:00+00:00,2009-01-02,2009,1,2,12,0,GMT,25,2
2009-01-02 12:30:00+00:00,2009-01-02,2009,1,2,12,30,GMT,26,2
2009-01-02 13:00:00+00:00,2009-01-02,2009,1,2,13,0,GMT,27,2
2009-01-02 13:30:00+00:00,2009-01-02,2009,1,2,13,30,GMT,28,2
2009-01-02 14:00:00+00:00,2009-01-02,2009,1,2,14,0,GMT,29,2
2009-01-02 14:30:00+00:00,2009-01-02,2009,1,2,14,30,GMT,30,2
2009-01-02 15:00:00+00:00,2009-01-02,2009,1,2,15,0,GMT,31,2
2009-01-02 15:30:00+00:00,2009-01-02,2009,1,2,15,30,GMT,32,2
2009-01-02 16:00:00+00:00,2009-01-02,2009,1,2,16,0,GMT,33,2
2009-01-02 16:30:00+00:00,2009-01-02,2009,1,2,16,30,GMT,34,2
2009-01-02 17:00:00+00:00,2009-01-02,2009,1,2,17,0,GMT,35,2
2009-01-02 17:30:00+00:00,2009-01-02,2009,1,2,17,30,GMT,36,2
2009-01-02 18:00:00+00:00,2009-01-02,2009,1,2,18,0,GMT,37,2
2009-01-02 18:30:00+00:00,2009-01-02,2009,1,2,18,30,GMT,38,2
2009-01-02 19:00:00+00:00,2009-01-02,2009,1,2,19,0,GMT,39,2
2009-01-02 19:30:00+00:00,2009-01-02,2009,1,2,19,30,GMT,40,2
2009-01-02 20:00:00+00:00,2009-01-02,2009,1,2,20,0,GMT,41,2
2009-01-02 20:30:00+00:00,2009-01-02,2009,1,2,20,30,GMT,42,2
2009-01-02 21:00:00+00:00,2009-01-02,2009,1,2,21,0,GMT,43,2
2009-01-02 21:30:00+00:00,2009-01-02,2009,1,2,21,30,GMT,44,2
2009-01-02 22:00:00+00:00,2009-01-02,2009,1,2,22,0,GMT,45,2
2009-01-02 22:30:00+00:00,2009-01-02,2009,1,2,22,30,GMT,46,2
2009-01-02 23:00:00+00:00,2009-01-02,2009,1,2,23,0,GMT,47,2
2009-01-02 23:30:00+00:00,2009-01-02,2009,1,2,23,30,GMT,48,2
2009-01-03 00:00:00+00:00,2009-01-03,2009,1,3,0,0,GMT,1,3
2009-01-03 00:30:00+00:00,2009-01-03,2009,1,3,0,30,GMT,2,3
2009-01-03 01:00:00+00:00,2009-01-03,2009,1,3,1,0,GMT,3,3
2009-01-03 01:30:00+00:00,2009-01-03,2009,1,3,1,30,GMT,4,3
2009-01-03 02:00:00+00:00,2009-01-03,2009,1,3,2,0,GMT,5,3
2009-01-03 02:30:00+00:00,2009-01-03,2009,1,3,2,30,GMT,6,3
2009-01-03 03:00:00+00:00,2009-01-03,2009,1,3,3,0,GMT,7,3
2009-01-03 03:30:00+00:00,2009-01-03,2009,1,3,3,30,GMT,8,3
2009-01-03 04:00:00+00:00,2009-01-03,2009,1,3,4,0,GMT,9,3
2009-01-03 04:30:00+00:00,2009-01-03,2009,1,3,4,30,GMT,10,3
2009-01-03 05:00:00+00:00,2009-01-03,2009,1,3,5,0,GMT,11,3
2009-01-03 05:30:00+00:00,2009-01-03,2009,1,3,5,30,GMT,12,3
2009-01-03 06:00:00+00:00,2009-01-03,2009,1,3,6,0,GMT,13,3
2009-01-03 06:30:00+00:00,2009-01-03,2009,1,3,6,30,GMT,14,3
2009-01-03 07:00:00+00:00,2009-01-03,2009,1,3,7,0,GMT,15,3
2009-01-03 07:30:00+00:00,2009-01-03,2009,1,3,7,30,GMT,16,3
2009-01-03 08:00:00+00:00,2009-01-03,2009,1,3,8,0,GMT,17,3
2009-01-03 08:30:00+00:00,2009-01-03,2009,1,3,8,30,GMT,18,3
2009-01-03 09:00:00+00:00,2009-01-03,2009,1,3,9,0,GMT,19,3
2009-01-03 09:30:00+00:00,2009-01-03,2009,1,3,9,30,GMT,20,3
2009-01-03 10:00:00+00:00,2009-01-03,2009,1,3,10,0,GMT,21,3
2009-01-03 10:30:00+00:00,2009-01-03,2009,1,3,10,30,GMT,22,3
2009-01-03 11:00:00+00:00,2009-01-03,2009,1,3,11,0,GMT,23,3
2009-01-03 11:30:00+00:00,2009-01-03,2009,1,3,11,30,GMT,24,3
2009-01-03 12:00:00+00:00,2009-01-03,2009,1,3,12,0,GMT,25,3
2009-01-03 12:30:00+00:00,2009-01-03,2009,1,3,12,30,GMT,26,3
2009-01-03 13:00:00+00:00,2009-01-03,2009,1,3,13,0,GMT,27,3
2009-01-03 13:30:00+00:00,2009-01-03,2009,1,3,13,30,GMT,28,3
2009-01-03 14:00:00+00:00,2009-01-03,2009,1,3,14,0,GMT,29,3
2009-01-03 14:30:00+00:00,2009-01-03,2009,1,3,14,30,GMT,30,3
2009-01-03 15:00:00+00:00,2009-01-03,2009,1,3,15,0,GMT,31,3
2009-01-03 15:30:00+00:00,2009-01-03,2009,1,3,15,30,GMT,32,3
2009-01-03 16:00:00+00:00,2009-01-03,2009,1,3,16,0,GMT,33,3
2009-01-03 16:30:00+00:00,2009-01-03,2009,1,3,16,30,GMT,34,3
2009-01-03 17:00:00+00:00,2009-01-03,2009,1,3,17,0,GMT,35,3
2009-01-03 17:30:00+00:00,2009-01-03,2009,1,3,17,30,GMT,36,3
2009-01-03 18:00:00+00:00,2009-01-03,2009,1,3,18,0,GMT,37,3
2009-01-03 18:30:00+00:00,2009-01-03,2009,1,3,18,30,GMT,38,3
2009-01-03 19:00:00+00:00,2009-01-03,2009,1,3,19,0,GMT,39,3
2009-01-03 19:30:00+00:00,2009-01-03,2009,1,3,19,30,GMT,40,3
2009-01-03 20:00:00+00:00,2009-01-03,2009,1,3,20,0,GMT,41,3
2009-01-03 20:30:00+00:00,2009-01-03,2009,1,3,20,30,GMT,42,3
2009-01-03 21:00:00+00:00,2009-01-03,2009,1,3,21,0,GMT,43,3
2009-01-03 21:30:00+00:00,2009-01-03,2009,1,3,21,30,GMT,44,3
2009-01-03 22:00:00+00:00,2009-01-03,2009,1,3,22,0,GMT,45,3
2009-01-03 22:30:00+00:00,2009-01-03,2009,1,3,22,30,GMT,46,3
2009-01-03 23:00:00+00:00,2009-01-03,2009,1,3,23,0,GMT,47,3
2009-01-03 23:30:00+00:00,2009-01-03,2009,1,3,23,30,GMT,48,3
2009-01-04 00:00:00+00:00,2009-01-04,2009,1,4,0,0,GMT,1,4
2009-01-04 00:30:00+00:00,2009-01-04,2009,1,4,0,30,GMT,2,4
2009-01-04 01:00:00+00:00,2009-01-04,2009,1,4,1,0,GMT,3,4
2009-01-04 01:30:00+00:00,2009-01-04,2009,1,4,1,30,GMT,4,4
2009-01-04 02:00:00+00:00,2009-01-04,2009,1,4,2,0,GMT,5,4
2009-01-04 02:30:00+00:00,2009-01-04,2009,1,4,2,30,GMT,6,4
2009-01-04 03:00:00+00:00,2009-01-04,2009,1,4,3,0,GMT,7,4
2009-01-04 03:30:00+00:00,2009-01-04,2009,1,4,3,30,GMT,8,4
2009-01-04 04:00:00+00:00,2009-01-04,2009,1,4,4,0,GMT,9,4
2009-01-04 04:30:00+00:00,2009-01-04,2009,1,4,4,30,GMT,10,4
2009-01-04 05:00:00+00:00,2009-01-04,2009,1,4,5,0,GMT,11,4
2009-01-04 05:30:00+00:00,2009-01-04,2009,1,4,5,30,GMT,12,4
2009-01-04 06:00:00+00:00,2009-01-04,2009,1,4,6,0,GMT,13,4
2009-01-04 06:30:00+00:00,2009-01-04,2009,1,4,6,30,GMT,14,4
2009-01-04 07:00:00+00:00,2009-01-04,2009,1,4,7,0,GMT,15,4
2009-01-04 07:30:00+00:00,2009-01-04,2009,1,4,7,30,GMT,16,4
2009-01-04 08:00:00+00:00,2009-01-04,2009,1,4,8,0,GMT,17,4
2009-01-04 08:30:00+00:00,2009-01-04,2009,1,4,8,30,GMT,18,4
2009-01-04 09:00:00+00:00,2009-01-04,2009,1,4,9,0,GMT,19,4
2009-01-04 09:30:00+00:00,2009-01-04,2009,1,4,9,30,GMT,20,4
2009-01-04 10:00:00+00:00,2009-01-04,2009,1,4,10,0,GMT,21,4
2009-01-04 10:30:00+00:00,2009-01-04,2009,1,4,10,30,GMT,22,4
2009-01-04 11:00:00+00:00,2009-01-04,2009,1,4,11,0,GMT,23,4
2009-01-04 11:30:00+00:00,2009-01-04,2009,1,4,11,30,GMT,24,4
2009-01-04 12:00:00+00:00,2009-01-04,2009,1,4,12,0,GMT,25,4
2009-01-04 12:30:00+00:00,2009-01-04,2009,1,4,12,30,GMT,26,4
2009-01-04 13:00:00+00:00,2009-01-04,2009,1,4,13,0,GMT,27,4
2009-01-04 13:30:00+00:00,2009-01-04,2009,1,4,13,30,GMT,28,4
2009-01-04 14:00:00+00:00,2009-01-04,2009,1,4,14,0,GMT,29,4
2009-01-04 14:30:00+00:00,2009-01-04,2009,1,4,14,30,GMT,30,4
2009-01-04 15:00:00+00:00,2009-01-04,2009,1,4,15,0,GMT,31,4
2009-01-04 15:30:00+00:00,2009-01-04,2009,1,4,15,30,GMT,32,4
2009-01-04 16:00:00+00:00,2009-01-04,2009,1,4,16,0,GMT,33,4
2009-01-04 16:30:00+00:00,2009-01-04,2009,1,4,16,30,GMT,34,4
2009-01-04 17:00:00+00:00,2009-01-04,2009,1,4,17,0,GMT,35,4
2009-01-04 17:30:00+00:00,2009-01-04,2009,1,4,17,30,GMT,36,4
2009-01-04 18:00:00+00:00,2009-01-04,2009,1,4,18,0,GMT,37,4
2009-01-04 18:30:00+00:00,2009-01-04,2009,1,4,18,30,GMT,38,4
2009-01-04 19:00:00+00:00,2009-01-04,2009,1,4,19,0,GMT,39,4
2009-01-04 19:30:00+00:00,2009-01-04,2009,1,4,19,30,GMT,40,4
2009-01-04 20:00:00+00:00,2009-01-04,2009,1,4,20,0,GMT,41,4
2009-01-04 20:30:00+00:00,2009-01-04,2009,1,4,20,30,GMT,42,4
2009-01-04 21:00:00+00:00,2009-01-04,2009,1,4,21,0,GMT,43,4
2009-01-04 21:30:00+00:00,2009-01-04,2009,1,4,21,30,GMT,44,4
2009-01-04 22:00:00+00:00,2009-01-04,2009,1,4,22,0,GMT,45,4
2009-01-04 22:30:00+00:00,2009-01-04,2009,1,4,22,30,GMT,46,4
2009-01-04 23:00:00+00:00,2009-01-04,2009,1,4,23,0,GMT,47,4
2009-01-04 23:30:00+00:00,2009-01-04,2009,1,4,23,30,GMT,48,4
2009-01-05 00:00:00+00:00,2009-01-05,2009,1,5,0,0,GMT,1,5
2009-01-05 00:30:00+00:00,2009-01-05,2009,1,5,0,30,GMT,2,5
2009-01-05 01:00:00+00:00,2009-01-05,2009,1,5,1,0,GMT,3,5
2009-01-05 01:30:00+00:00,2009-01-05,2009,1,5,1,30,GMT,4,5
2009-01-05 02:00:00+00:00,2009-01-05,2009,1,5,2,0,GMT,5,5
2009-01-05 02:30:00+00:00,2009-01-05,2009,1,5,2,30,GMT,6,5
2009-01-05 03:00:00+00:00,2009-01-05,2009,1,5,3,0,GMT,7,5
2009-01-05 03:30:00+00:00,2009-01-05,2009,1,5,3,30,GMT,8,5
2009-01-05 04:00:00+00:00,2009-01-05,2009,1,5,4,0,GMT,9,5
2009-01-05 04:30:00+00:00,2009-01-05,2009,1,5,4,30,GMT,10,5
2009-01-05 05:00:00+00:00,2009-01-05,2009,1,5,5,0,GMT,11,5
2009-01-05 05:30:00+00:00,2009-01-05,2009,1,5,5,30,GMT,12,5
2009-01-05 06:00:00+00:00,2009-01-05,2009,1,5,6,0,GMT,13,5
2009-01-05 06:30:00+00:00,2009-01-05,2009,1,5,6,30,GMT,14,5
2009-01-05 07:00:00+00:00,2009-01-05,2009,1,5,7,0,GMT,15,5
2009-01-05 07:30:00+00:00,2009-01-05,2009,1,5,7,30,GMT,16,5
2009-01-05 08:00:00+00:00,2009-01-05,2009,1,5,8,0,GMT,17,5
2009-01-05 08:30:00+00:00,2009-01-05,2009,1,5,8,30,GMT,18,5
2009-01-05 09:00:00+00:00,2009-01-05,2009,1,5,9,0,GMT,19,5
2009-01-05 09:30:00+00:00,2009-01-05,2009,1,5,9,30,GMT,20,5
2009-01-05 10:00:00+00:00,2009-01-05,2009,1,5,10,0,GMT,21,5
2009-01-05 10:30:00+00:00,2009-01-05,2009,1,5,10,30,GMT,22,5
2009-01-05 11:00:00+00:00,2009-01-05,2009,1,5,11,0,GMT,23,5
2009-01-05 11:30:00+00:00,2009-01-05,2009,1,5,11,30,GMT,24,5
2009-01-05 12:00:00+00:00,2009-01-05,2009,1,5,12,0,GMT,25,5
2009-01-05 12:30:00+00:00,2009-01-05,2009,1,5,12,30,GMT,26,5
2009-01-05 13:00:00+00:00,2009-01-05,2009,1,5,13,0,GMT,27,5
2009-01-05 13:30:00+00:00,2009-01-05,2009,1,5,13,30,GMT,28,5
2009-01-05 14:00:00+00:00,2009-01-05,2009,1,5,14,0,GMT,29,5
2009-01-05 14:30:00+00:00,2009-01-05,2009,1,5,14,30,GMT,30,5
2009-01-05 15:00:00+00:00,2009-01-05,2009,1,5,15,0,GMT,31,5
2009-01-05 15:30:00+00:00,2009-01-05,2009,1,5,15,30,GMT,32,5
2009-01-05 16:00:00+00:00,2009-01-05,2009,1,5,16,0,GMT,33,5
2009-01-05 16:30:00+00:00,2009-01-05,2009,1,5,16,30,GMT,34,5
2009-01-05 17:00:00+00:00,2009-01-05,2009,1,5,17,0,GMT,35,5
2009-01-05 17:30:00+00:00,2009-01-05,2009,1,5,17,30,GMT,36,5
2009-01-05 18:00:00+00:00,2009-01-05,2009,1,5,18,0,GMT,37,5
2009-01-05 18:30:00+00:00,2009-01-05,2009,1,5,18,30,GMT,38,5
2009-01-05 19:00:00+00:00,2009-01-05,2009,1,5,19,0,GMT,39,5
2009-01-05 19:30:00+00:00,2009-01-05,2009,1,5,19,30,GMT,40,5
2009-01-05 20:00:00+00:00,2009-01-05,2009,1,5,20,0,GMT,41,5
2009-01-05 20:30:00+00:00,2009-01-05,2009,1,5,20,30,GMT,42,5
2009-01-05 21:00:00+00:00,2009-01-05,2009,1,5,21,0,GMT,43,5
2009-01-05 21:30:00+00:00,2009-01-05,2009,1,5,21,30,GMT,44,5
2009-01-05 22:00:00+00:00,2009-01-05,2009,1,5,22,0,GMT,45,5
2009-01-05 22:30:00+00:00,2009-01-05,2009,1,5,22,30,GMT,46,5
2009-01-05 23:00:00+00:00,2009-01-05,2009,1,5,23,0,GMT,47,5
2009-01-05 23:30:00+00:00,2009-01-05,2009,1,5,23,30,GMT,48,5
2009-01-06 00:00:00+00:00,2009-01-06,2009,1,6,0,0,GMT,1,6
2009-01-06 00:30:00+00:00,2009-01-06,2009,1,6,0,30,GMT,2,6
2009-01-06 01:00:00+00:00,2009-01-06,2009,1,6,1,0,GMT,3,6
2009-01-06 01:30:00+00:00,2009-01-06,2009,1,6,1,30,GMT,4,6
2009-01-06 02:00:00+00:00,2009-01-06,2009,1,6,2,0,GMT,5,6
2009-01-06 02:30:00+00:00,2009-01-06,2009,1,6,2,30,GMT,6,6
2009-01-06 03:00:00+00:00,2009-01-06,2009,1,6,3,0,GMT,7,6
2009-01-06 03:30:00+00:00,2009-01-06,2009,1,6,3,30,GMT,8,6
2009-01-06 04:00:00+00:00,2009-01-06,2009,1,6,4,0,GMT,9,6
2009-01-06 04:30:00+00:00,2009-01-06,2009,1,6,4,30,GMT,10,6
2009-01-06 05:00:00+00:00,2009-01-06,2009,1,6,5,0,GMT,11,6
2009-01-06 05:30:00+00:00,2009-01-06,2009,1,6,5,30,GMT,12,6
2009-01-06 06:00:00+00:00,2009-01-06,2009,1,6,6,0,GMT,13,6
2009-01-06 06:30:00+00:00,2009-01-06,2009,1,6,6,30,GMT,14,6
2009-01-06 07:00:00+00:00,2009-01-06,2009,1,6,7,0,GMT,15,6
2009-01-06 07:30:00+00:00,2009-01-06,2009,1,6,7,30,GMT,16,6
2009-01-06 08:00:00+00:00,2009-01-06,2009,1,6,8,0,GMT,17,6
2009-01-06 08:30:00+00:00,2009-01-06,2009,1,6,8,30,GMT,18,6
2009-01-06 09:00:00+00:00,2009-01-06,2009,1,6,9,0,GMT,19,6
2009-01-06 09:30:00+00:00,2009-01-06,2009,1,6,9,30,GMT,20,6
2009-01-06 10:00:00+00:00,2009-01-06,2009,1,6,10,0,GMT,21,6
2009-01-06 10:30:00+00:00,2009-01-06,2009,1,6,10,30,GMT,22,6
2009-01-06 11:00:00+00:00,2009-01-06,2009,1,6,11,0,GMT,23,6
2009-01-06 11:30:00+00:00,2009-01-06,2009,1,6,11,30,GMT,24,6
2009-01-06 12:00:00+00:00,2009-01-06,2009,1,6,12,0,GMT,25,6
2009-01-06 12:30:00+00:00,2009-01-06,2009,1,6,12,30,GMT,26,6
2009-01-06 13:00:00+00:00,2009-01-06,2009,1,6,13,0,GMT,27,6
2009-01-06 13:30:00+00:00,2009-01-06,2009,1,6,13,30,GMT,28,6
2009-01-06 14:00:00+00:00,2009-01-06,2009,1,6,14,0,GMT,29,6
2009-01-06 14:30:00+00:00,2009-01-06,2009,1,6,14,30,GMT,30,6
2009-01-06 15:00:00+00:00,2009-01-06,2009,1,6,15,0,GMT,31,6
2009-01-06 15:30:00+00:00,2009-01-06,2009,1,6,15,30,GMT,32,6
2009-01-06 16:00:00+00:00,2009-01-06,2009,1,6,16,0,GMT,33,6
2009-01-06 16:30:00+00:00,2009-01-06,2009,1,6,16,30,GMT,34,6
2009-01-06 17:00:00+00:00,2009-01-06,2009,1,6,17,0,GMT,35,6
2009-01-06 17:30:00+00:00,2009-01-06,2009,1,6,17,30,GMT,36,6
2009-01-06 18:00:00+00:00,2009-01-06,2009,1,6,18,0,GMT,37,6
2009-01-06 18:30:00+00:00,2009-01-06,2009,1,6,18,30,GMT,38,6
2009-01-06 19:00:00+00:00,2009-01-06,2009,1,6,19,0,GMT,39,6
2009-01-06 19:30:00+00:00,2009-01-06,2009,1,6,19,30,GMT,40,6
2009-01-06 20:00:00+00:00,2009-01-06,2009,1,6,20,0,GMT,41,6
2009-01-06 20:30:00+00:00,2009-01-06,2009,1,6,20,30,GMT,42,6
2009-01-06 21:00:00+00:00,2009-01-06,2009,1,6,21,0,GMT,43,6
2009-01-06 21:30:00+00:00,2009-01-06,2009,1,6,21,30,GMT,44,6
2009-01-06 22:00:00+00:00,2009-01-06,2009,1,6,22,0,GMT,45,6
2009-01-06 22:30:00+00:00,2009-01-06,2009,1,6,22,30,GMT,46,6
2009-01-06 23:00:00+00:00,2009-01-06,2009,1,6,23,0,GMT,47,6
2009-01-06 23:30:00+00:00,2009-01-06,2009,1,6,23,30,GMT,48,6
2009-01-07 00:00:00+00:00,2009-01-07,2009,1,7,0,0,GMT,1,7
2009-01-07 00:30:00+00:00,2009-01-07,2009,1,7,0,30,GMT,2,7
2009-01-07 01:00:00+00:00,2009-01-07,2009,1,7,1,0,GMT,3,7
2009-01-07 01:30:00+00:00,2009-01-07,2009,1,7,1,30,GMT,4,7
2009-01-07 02:00:00+00:00,2009-01-07,2009,1,7,2,0,GMT,5,7
2009-01-07 02:30:00+00:00,2009-01-07,2009,1,7,2,30,GMT,6,7
2009-01-07 03:00:00+00:00,2009-01-07,2009,1,7,3,0,GMT,7,7
2009-01-07 03:30:00+00:00,2009-01-07,2009,1,7,3,30,GMT,8,7
2009-01-07 04:00:00+00:00,2009-01-07,2009,1,7,4,0,GMT,9,7
2009-01-07 04:30:00+00:00,2009-01-07,2009,1,7,4,30,GMT,10,7
2009-01-07 05:00:00+00:00,2009-01-07,2009,1,7,5,0,GMT,11,7
2009-01-07 05:30:00+00:00,2009-01-07,2009,1,7,5,30,GMT,12,7
2009-01-07 06:00:00+00:00,2009-01-07,2009,1,7,6,0,GMT,13,7
2009-01-07 06:30:00+00:00,2009-01-07,2009,1,7,6,30,GMT,14,7
2009-01-07 07:00:00+00:00,2009-01-07,2009,1,7,7,0,GMT,15,7
2009-01-07 07:30:00+00:00,2009-01-07,2009,1,7,7,30,GMT,16,7
2009-01-07 08:00:00+00:00,2009-01-07,2009,1,7,8,0,GMT,17,7
2009-01-07 08:30:00+00:00,2009-01-07,2009,1,7,8,30,GMT,18,7
2009-01-07 09:00:00+00:00,2009-01-07,2009,1,7,9,0,GMT,19,7
2009-01-07 09:30:00+00:00,2009-01-07,2009,1,7,9,30,GMT,20,7
2009-01-07 10:00:00+00:00,2009-01-07,2009,1,7,10,0,GMT,21,7
2009-01-07 10:30:00+00:00,2009-01-07,2009,1,7,10,30,GMT,22,7
2009-01-07 11:00:00+00:00,2009-01-07,2009,1,7,11,0,GMT,23,7
2009-01-07 11:30:00+00:00,2009-01-07,2009,1,7,11,30,GMT,24,7
2009-01-07 12:00:00+00:00,2009-01-07,2009,1,7,12,0,GMT,25,7
2009-01-07 12:30:00+00:00,2009-01-07,2009,1,7,12,30,GMT,26,7
2009-01-07 13:00:00+00:00,2009-01-07,2009,1,7,13,0,GMT,27,7
2009-01-07 13:30:00+00:00,2009-01-07,2009,1,7,13,30,GMT,28,7
2009-01-07 14:00:00+00:00,2009-01-07,2009,1,7,14,0,GMT,29,7
2009-01-07 14:30:00+00:00,2009-01-07,2009,1,7,14,30,GMT,30,7
2009-01-07 15:00:00+00:00,2009-01-07,2009,1,7,15,0,GMT,31,7
2009-01-07 15:30:00+00:00,2009-01-07,2009,1,7,15,30,GMT,32,7
2009-01-07 16:00:00+00:00,2009-01-07,2009,1,7,16,0,GMT,33,7
2009-01-07 16:30:00+00:00,2009-01-07,2009,1,7,16,30,GMT,34,7
2009-01-07 17:00:00+00:00,2009-01-07,2009,1,7,17,0,GMT,35,7
2009-01-07 17:30:00+00:00,2009-01-07,2009,1,7,17,30,GMT,36,7
