ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,D_200_2,D_300_2,D_300_3,D_300_4,D_300_5,D_300_6,D_300_7,D_310_2,D_310_3,D_310_4,D_310_5,D_310_6,D_310_7,D_405_2,D_401_2,D_401_3,D_401_4,D_401_5,D_401_6
1120,E,E,86.68199999999993,52.741500000000116,59.13750000000013,76.43149999999955,73.78999999999937,78.83900000000014,64.88150000000006,69.38200000000025,84.40100000000027,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1130,E,E,497.9805000000002,482.96900000000096,550.5514999999997,610.6840000000003,753.4239999999992,685.5380000000007,576.5995000000004,590.4115000000006,498.39049999999935,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1136,B,3,199.3774999999999,185.1340000000001,239.4805000000003,199.09300000000027,270.8629999999998,264.7765000000001,171.11799999999977,200.96200000000047,132.51849999999976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1141,E,E,474.0649999999989,445.8495000000003,515.9825000000003,475.8849999999999,536.762499999999,517.367499999999,446.0289999999999,456.33000000000027,426.9920000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1144,E,E,448.20850000000024,365.7855,394.12100000000055,382.90650000000005,521.8650000000002,497.34050000000053,428.1405000000004,432.44600000000025,436.9899999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,E,E,370.28999999999996,397.10899999999987,467.08299999999986,563.3224999999994,607.4894999999995,554.1819999999996,492.960500000001,482.4624999999991,425.8799999999999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1164,E,E,348.92800000000057,414.5595000000006,475.24450000000076,548.106499999999,670.9650000000006,603.5614999999997,404.4879999999999,457.3195000000002,309.4029999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,E,E,644.9074999999998,541.5025000000004,762.0169999999999,852.9614999999997,1211.8255,1231.2969999999991,1051.2104999999997,887.7489999999992,818.9619999999979,,,,,,,,,,,,,,,,,,,
1176,E,E,402.954,392.20149999999967,516.1439999999994,592.1964999999999,695.2219999999992,627.1110000000007,480.1450000000008,434.44600000000014,339.99650000000025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1179,E,E,140.25249999999983,135.01250000000027,210.82799999999972,342.172499999999,502.60050000000007,475.16299999999984,366.8634999999988,228.36899999999935,199.98299999999983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1200,B,3,462.4100000000006,453.7529999999999,482.27000000000027,516.4064999999999,609.788499999999,529.4675000000002,400.69400000000024,431.90749999999974,457.00000000000045,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1207,E,E,231.65799999999996,228.69650000000016,274.68749999999955,282.321,446.07900000000035,331.0855,242.43349999999995,245.8340000000001,191.20350000000033,,,,,,,,,,,,,,,,,,,
1212,E,E,325.4289999999996,465.09850000000074,463.8595000000009,443.4915000000001,541.1549999999988,534.5489999999994,356.72949999999923,426.3645000000002,328.34649999999954,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1217,E,E,639.6514999999999,613.151499999999,659.2019999999984,766.3224999999987,558.7765000000047,521.1910000000001,667.589500000001,666.6165000000012,733.7955000000006,,,,,,,,,,,,,,,,,,,
1225,E,E,248.19299999999984,219.64199999999983,248.11849999999987,282.2099999999995,388.67699999999996,371.3809999999996,257.7739999999996,230.3839999999998,214.03750000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1227,B,3,1213.3155000000022,1136.7800000000013,1260.2204999999985,1237.0834999999981,1361.914,1403.166500000003,1199.8574999999992,1266.7879999999993,1131.8099999999988,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,E,E,483.1409999999998,465.7544999999997,549.5755000000006,643.0004999999989,628.4985000000006,635.235,430.20300000000003,456.98750000000024,418.1344999999996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1232,B,3,364.4810000000002,358.7785000000004,436.76100000000093,490.43749999999955,454.02900000000005,467.8315000000004,387.91549999999995,393.68449999999984,307.7639999999998,,,,,,,,,,,,,,,,,,,
1238,B,3,523.8160000000012,625.130500000001,744.195499999999,683.075,796.7255000000001,592.0629999999996,584.7494999999997,619.304000000001,612.3909999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1239,E,E,404.58299999999997,402.81049999999976,433.19550000000004,432.70350000000013,456.0174999999996,454.0275,374.3454999999995,435.7249999999999,405.93200000000047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1240,E,E,558.4635,642.4660000000007,660.9414999999998,502.1059999999999,1040.2775000000004,898.5960000000018,845.7034999999998,843.4329999999987,806.0075000000006,,,,,,,,,,,,,,,,,,,
1246,E,E,683.1975000000014,701.8454999999994,753.5099999999999,707.8045000000002,777.0824999999992,773.1629999999992,746.9584999999996,816.2484999999991,655.8895000000005,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1255,E,E,238.2825000000002,191.52250000000018,229.6500000000004,269.26850000000064,276.7645,300.3120000000002,266.61800000000045,232.8815000000002,260.70699999999965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1257,E,E,248.6879999999996,235.05799999999982,269.4874999999998,277.93399999999997,227.14949999999996,293.1434999999997,246.57549999999966,302.9974999999999,267.1280000000003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1262,E,E,129.2275,151.30250000000038,194.1419999999997,379.0190000000003,907.9575000000004,639.7429999999987,86.57200000000101,22.28999999999999,26.34649999999986,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1268,E,E,177.46750000000023,186.5770000000002,200.5425000000004,231.1975,242.0814999999998,222.5120000000001,210.34850000000003,193.06550000000018,181.07800000000034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1274,E,E,233.7025000000001,232.81000000000026,297.2484999999994,306.2620000000001,532.5495000000002,373.4460000000006,318.4840000000004,265.403,262.99549999999994,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1277,E,E,56.184000000000104,199.709,229.11749999999998,215.60249999999962,211.10850000000002,220.42350000000016,216.89949999999993,240.3854999999996,178.0655,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1281,E,E,433.8864999999994,419.5524999999999,444.16350000000006,308.49600000000004,507.8595000000007,473.47900000000004,459.60000000000053,328.6605000000007,337.7570000000002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1286,E,E,310.50399999999973,300.6889999999997,392.7514999999991,287.29600000000005,471.38700000000085,545.4095000000004,422.87749999999977,423.1745000000005,312.65500000000037,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1291,B,3,184.42000000000004,158.20849999999996,197.00199999999978,199.23650000000004,195.03850000000122,191.89650000000026,177.65750000000023,175.8664999999996,191.3974999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1294,E,E,359.57199999999995,362.9354999999992,430.01049999999964,473.39950000000084,607.2879999999998,557.4044999999995,447.85249999999974,418.03450000000055,352.93999999999966,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1301,E,E,350.37050000000005,717.2304999999994,580.2989999999993,509.3719999999998,464.88000000000056,441.6655,300.78250000000037,473.97149999999965,457.6730000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1312,E,E,50.404500000000105,62.7045000000002,146.9684999999996,183.54449999999957,371.83899999999954,310.7464999999992,299.22549999999933,189.81649999999877,130.20799999999977,,,,,,,,,,,,,,,,,,,
1316,E,E,78.14650000000005,85.42199999999987,88.34150000000027,81.1525,76.77649999999997,137.28749999999997,92.7304999999998,90.496,65.00550000000013,,,,,,,,,,,,,,,,,,,
1317,E,E,322.5990000000007,331.6655000000001,339.91350000000097,380.347,406.1219999999989,388.0259999999991,293.5584999999994,344.8584999999994,277.88700000000057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1331,E,E,306.0725,264.90549999999996,342.433,294.0259999999994,325.70550000000014,294.0589999999998,274.6304999999998,270.4600000000004,248.34900000000016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336,E,E,736.3125000000006,699.0585000000008,716.2784999999998,823.6724999999996,975.8079999999992,892.8409999999993,815.6149999999992,776.131,731.548,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1354,E,E,130.42000000000024,161.539,167.19500000000016,165.28449999999987,202.9675000000005,190.08399999999975,170.87050000000016,172.71350000000027,203.88750000000024,,,,,,,,,,,,,,,,,,,
1364,E,E,240.62800000000001,245.01649999999987,291.37149999999957,348.68399999999974,400.95250000000084,633.3614999999996,442.36650000000037,375.3570000000001,328.83949999999976,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1365,E,E,256.68550000000033,201.74750000000012,165.59800000000027,252.44950000000017,280.66349999999983,235.7459999999998,227.66849999999968,209.54149999999973,235.28399999999982,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1366,B,3,305.6694999999983,314.9580000000006,454.03749999999985,763.9750000000007,1322.6889999999994,1058.4814999999994,543.1989999999985,858.1599999999992,747.8225000000009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1371,E,E,443.2629999999992,604.8689999999992,609.1989999999989,631.4994999999992,566.8665000000021,602.7924999999998,521.6440000000005,536.7374999999989,469.8524999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1376,E,E,359.1825000000001,482.4170000000007,516.61,570.1559999999998,794.7529999999991,893.6070000000001,983.3039999999994,586.9590000000009,412.1070000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1379,E,E,230.76650000000038,264.4269999999999,240.19200000000023,279.9400000000001,936.4919999999993,824.0675000000002,352.0704999999999,250.43900000000014,217.96450000000024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1388,E,E,97.55599999999994,122.23900000000039,150.0995,237.3624999999999,250.283,318.04650000000015,187.87949999999958,153.76199999999963,130.41900000000012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1405,B,3,247.71199999999996,208.3065000000004,213.228,229.85149999999985,226.87249999999977,257.4349999999997,225.24800000000002,238.5399999999998,202.97899999999973,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1425,E,E,512.7294999999996,522.8460000000007,561.9189999999999,625.1694999999997,853.8124999999993,650.4304999999998,506.1735000000008,503.60100000000097,503.0565000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,E,E,268.4379999999998,393.5370000000001,426.9180000000002,442.10799999999966,530.8635,461.90599999999955,365.02750000000015,377.53700000000055,345.7959999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1435,E,E,165.898,154.1025000000002,181.58900000000025,210.80299999999974,193.13649999999996,214.04349999999957,178.6284999999997,194.3879999999996,187.3364999999995,,,,,,,,,,,,,,,,,,,
1440,E,E,229.5130000000002,173.90150000000037,165.72550000000044,173.3925000000004,164.62699999999973,166.27549999999985,139.88899999999978,141.79350000000045,135.61799999999977,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1463,E,E,258.9729999999996,284.1099999999999,295.6344999999995,313.3304999999997,404.37949999999984,424.0775000000001,291.6204999999998,317.6974999999994,320.2749999999997,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1466,E,E,340.3150000000004,352.29249999999973,359.2484999999994,393.9055000000003,463.5559999999997,467.6555000000005,360.8095000000004,360.73350000000033,293.62800000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1471,B,3,577.5250000000004,613.2700000000001,719.1645000000003,790.8265000000005,978.0290000000007,898.8074999999999,737.1770000000007,742.0589999999996,598.8350000000015,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1480,E,E,276.8555000000001,177.26199999999923,261.6454999999994,302.3914999999996,294.50799999999896,303.12649999999974,407.7980000000003,329.02300000000014,301.0099999999995,,,,,,,,,,,,,,,,,,,
1492,E,E,70.99749999999989,74.06949999999988,82.91900000000038,104.79650000000028,170.0614999999996,201.31500000000034,187.92200000000003,135.65049999999968,74.64950000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1494,E,E,738.301499999999,680.1845000000003,738.3809999999999,785.1390000000017,887.5670000000003,793.69,729.5520000000001,448.53649999999925,531.2404999999993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1498,E,E,548.8465,517.8070000000002,552.6120000000003,578.9425000000008,622.0490000000004,617.8620000000005,562.9185000000002,546.1719999999995,494.47249999999997,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1502,E,E,234.542,209.65849999999935,276.59849999999994,315.0855000000001,295.23299999999995,320.46700000000004,219.28649999999988,293.9600000000006,288.44300000000015,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1505,E,E,111.40500000000003,122.81199999999986,149.61550000000034,95.5189999999979,5.596499999999989,4.5229999999997945,37.737500000000146,111.88950000000014,97.00899999999996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1507,E,E,114.79050000000018,109.79799999999999,121.6465000000001,121.89699999999971,202.62249999999995,248.46499999999924,246.70250000000024,221.60399999999981,113.50449999999987,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1517,E,E,225.2999999999999,224.43650000000005,266.16800000000023,264.8175000000002,330.9900000000001,361.0734999999998,301.525,319.4430000000001,274.21550000000013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1530,E,E,138.22699999999983,138.54699999999985,137.3465000000002,135.981,172.0009999999998,171.16100000000017,128.99449999999942,140.98750000000018,150.1005000000001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1532,E,E,419.05300000000017,401.21749999999986,472.4505000000008,492.1529999999995,542.9724999999997,507.63000000000034,475.003,493.8609999999996,428.588499999999,,,,,,,,,,,,,,,,,,,
1537,E,E,375.78699999999924,359.25149999999985,244.3974999999997,403.08800000000036,493.0724999999998,463.4784999999997,379.2034999999999,354.2369999999994,320.65450000000016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539,E,E,627.7219999999982,502.14150000000024,402.0139999999998,294.6510000000005,386.8345000000003,503.6740000000008,322.5455000000001,356.10749999999985,303.77450000000033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1546,E,E,211.1425000000003,511.2204999999992,403.6789999999991,584.5265000000005,601.6854999999997,837.9435000000003,486.3050000000008,552.9989999999998,295.9885000000002,,,,,,,,,,,,,,,,,,,
1548,E,E,391.6164999999995,336.1920000000006,444.7045,509.84650000000005,596.3130000000004,653.784000000001,490.3604999999995,466.04850000000033,384.85750000000047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551,E,E,195.7209999999998,194.9135000000001,211.5794999999999,178.89999999999995,153.35050000000007,182.81700000000055,180.00750000000005,188.86249999999987,162.0214999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1561,E,E,437.5855000000002,419.2390000000006,477.7379999999989,440.09150000000017,561.7905000000002,565.5779999999996,474.4990000000013,478.0440000000003,443.76449999999954,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1564,E,E,212.18850000000015,139.52349999999984,232.45399999999995,301.64749999999975,448.43049999999994,349.1445000000004,330.76250000000107,440.5219999999999,355.1279999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1567,E,E,385.26000000000073,356.93450000000007,392.4719999999997,468.9435000000003,514.6590000000003,318.68650000000036,259.50999999999976,283.1475000000001,299.66999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1573,E,E,516.1434999999989,502.4364999999993,512.3250000000008,472.4399999999994,540.8380000000001,536.6564999999998,439.9095000000004,387.789,454.5004999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1575,E,E,290.17900000000014,326.29849999999993,383.6065000000004,329.2954999999988,480.89099999999985,432.49100000000067,320.59350000000023,265.1069999999998,268.7774999999993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1592,E,E,280.11500000000007,258.69650000000024,324.75999999999954,311.9564999999996,404.6800000000002,359.9175000000001,295.42049999999983,312.7174999999993,316.044,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
